DATE,MERCHANT,CATEGORY,AMOUNT
04/09,Payment Thank You-Mobile,Uncategorized,-110.40
05/02,Payment Thank You-Mobile,Uncategorized,-100.00
05/02,Payment Thank You-Mobile,Uncategorized,-600.00
05/05,Payment Thank You-Mobile,Uncategorized,-200.00
05/05,Payment Thank You-Mobile,Uncategorized,-210.00
04/23,YUMMY GARDEN HOT POT ROCHESTER NY,Uncategorized,25.81
04/23,YUMMY GARDEN HOT POT ROCHESTER NY,Uncategorized,4.86
04/25,WALMART.COM 800-925-6278 AR,Uncategorized,2.34
04/27,JOMASHOP 877-834-1434 NY,Uncategorized,110.14
04/29,NEW YORK STATE DMV ROCHESTER NY,Uncategorized,67.50
04/29,BURGER KING #1774 AHILL@CARROLS NY,Uncategorized,3.88
04/29,Subway 17374 158-54245630 NY,Uncategorized,14.03
04/30,OPS*RUSTIC VLLG VTM2 ROCHESTER NY,Uncategorized,10.00
04/30,COSTCO WHSE #1195 ROCHESTER NY,Uncategorized,46.61
04/30,COSTCO WHSE #1195 ROCHESTER NY,Uncategorized,79.38
05/01,EXXON CIRCLEVILLE MIDDLETOWN NY,Uncategorized,25.04
05/01,SQ *SHAKE SHACK Woodbury NY,Uncategorized,34.01
05/02,BESTBUYCOM807056572283 888BESTBUY MN,Uncategorized,538.92
05/02,COSTCO GAS #1195 ROCHESTER NY,Uncategorized,27.84
05/03,Amazon.com*NI1H33LI2 Amzn.com/bill WA,Uncategorized,76.68
